Partlist

Exported from Motor_Test_Bench.brd at 05-06-20 10:19

EAGLE Version 9.5.0 Copyright (c) 1988-2019 Autodesk, Inc.

Assembly variant: 

Part     Value                                                                                    Package                                      Library                                   Position (mil)        Orientation
U4       ATMEGA328P-AN                                                                            QFP80P900X900X120-32N                        ATMEGA328P-AN                             (3793.75 1268.75)     MR90
U5       TEXAS_INSTRUMENTS_TLC2262CPTEXAS_INSTRUMENTS_TLC2262CP_0_0                               TEXAS_INSTRUMENTS_TLC2262CP_0                Texas Instruments - TLC2262CP             (2768.75 600)         R0
U6       AD623ANZ                                                                                 DIP254P762X533-8                             AD623ANZ                                  (3343.75 687.5)       R90
U7       TEXAS_INSTRUMENTS_TLC2264CNTEXAS_INSTRUMENTS_TLC2264CN_0_0                               TEXAS_INSTRUMENTS_TLC2264CN_0                Texas Instruments - TLC2264CN             (2962.5 2100)         R0
U8       SC-10-30J                                                                                SC-10-30J                                    SC-10-30J                                 (950 2862.5)          R90
U9       SC-10-30J                                                                                SC-10-30J                                    SC-10-30J                                 (912.5 1062.5)        R270
U10      STM32F103C8T6                                                                            QFP50P900X900X160-48N                        STM32F103C8T6                             (2943.75 3087.5)      MR90
U11      NATIONAL_SEMICONDUCTOR_LM1117IMPX-3.3-NOPBNATIONAL_SEMICONDUCTOR_LM1117IMPX-3.3-NOPB_0_2 NATIONAL_SEMICONDUCTOR_LM1117IMPX-3.3-NOPB_2 LM1117IMPX                                (3781.25 2743.75)     MR180
Y1       FOX_ELECTRONICS_FOXSLF-080-20FOX_ELECTRONICS_FOXSLF-080-20_0_0                           FOX_ELECTRONICS_FOXSLF-080-20_0              080-20                                    (3212.5 2768.75)      R0
Y2       CSTLS16M0X53Z-A0                                                                         CSTLS16M0X53ZA0                              SamacSys_Parts                            (3018.75 950)         R0
